"Meslek","Şehir","Nitelikler"
"Yazılım Geliştirme Mühendisi","Ankara","da Yazılım Mühendisliği bölümlerinden mezun olmak Erkek adaylar için askerlik ile ilişkisinin olmaması .NET ortamında yazılım geliştirme tecrübesi olması Veritabanı kavramlarına hakim olması ve web tabanlı yazılım geliştirme tecrübesinin bulunması Yazılım uzmanı olarak en az 3 yıl tecrübeli Takım çalışmasına yatkın ve uyumlu olması Yurtdışı seyahat engeli olmaması İngilizce bilmek tercih sebebidir."
"Ias ERP Yazılım Uzmanı","Kocaeli(Gebze)","geliştirmesinde görev yaparak, çeşitli modüllerde yapılacak analiz, tasarım, geliştirme, iyileştirme, dokümantasyon, test ve bakım çalışmalarında aktif görev yapmak, Sorumluluk alanındaki yenilikleri ve teknolojik gelişmeleri takip etmek, Performans iyileştirici geliştirmelerde bulunmak, Mevcut ve yeni kullanıcılara ilgili eğitimlerinin verilmesi, Talep edilen raporlama ekranlarının oluşturulması, Kullanıcı yönetimi, yetkilendirmeler, ve kısıtlamalar sağlanması,"
"ERP Proje Mühendisi","İzmir(Kemalpaşa)","Endüstri Mühendisliği, Bilgisayar Mühendisliği ve Bilgisayar ve          Yazılım Mühendisliği bölümlerinden mezun       1-3 yıl ERP sistemleri konusunda deneyimli (Tercihen IFS sistemi)        İyi derecede İngilizce bilen       Tercihen PL/SQL programlama diline hakim        MS Office programlarını ileri düzeyde kullanabilen        Süreç yönetimi konusunda bilgi sahibi        Analitik düşünme ve problem çözme becerisine sahip        Ekip çalışmasına yatkın        Planlama ve organizasyon yetkinliği yüksek"
"Yazılım Mühendisi","Ankara","Elektronik Mühendisliği Lisans/Yüksek Lisans derecesi, CUDA/OpenCL konusunda deneyim sahibi (iş deneyimi, tez/proje) C/C++ konusunda deneyim sahibi,"
"Test Mühendisi","İstanbul(Asya)(Pendik)","koşumu ve raporlamasını yapabilecek Yazılım ve donanım test süreçleri hakkında bilgi sahibi, Doğrulama ve Geçerli kılma faaliyetlerini bilen Temel yazılım bilgisine sahip Takım çalışmasına yatkın, baskı altında bile sonuç odaklı çalışabilecek, sürekli öğrenerek kendini yenileyen, problem çözmekten zevk alan, sonuç odaklı, araştırmacı ve yeniliklere açık, analitik yetkinliği güçlü, iletişim yetenekleri yüksek Üniversitelerin  Bilgisayar Mühendisliği, Yazılım Mühendisliği veyaElektrik- Elektronik Mühendisliği bölümlerinden mezun Çok iyi seviyede İngilizce bilen En az 3 yıl tecrübeli"
"Yazılım Geliştirme Uzmanı","İstanbul(Asya)(Beykoz)","Mühendisliği,Elektronik Mühendisliği, Yönetim Bilişim Sistemi, Matematik Mühendisliği ve benzeri bölümlerinden mezun,  En az 4 yıllık deneyimi olan,  C# .NET projesi geliştirmiş, Nesneye yönelik (OOP) programlama hakkında bilgisi olan, ORM araçlarına hakim. Entity Framework  de tecrübeli, Web tabanlı proje geliştirmiş ve ASP.NET MVC, HTML, CSS, Javascript konularında bilgi sahibi, Web Servis geliştirmiş (WCF ve REST), Windows Service geliştirmiş, .Net Core hakkında bilgi sahibi, Msql bilgis olan ve TSql sorguları yazabilen. Front End kütüphaneleri konusunda bilgisi sahibi olan. Tercihen React."
"İş Analisti (Hazine ve Yatırım İşlemleri)","İstanbul(Avr.)","Mühendisliği, Matematik Mühendisliği, Bilgisayar Mühendisliği, İşletme, İktisat, İstatistik veya ilgili alanlarından mezun, Minimum 3 yıl tecrübeli, tercihen Analistlik deneyiminin Bankacılık sektöründe yatırım uygulamalarında olması, Yatırım modüllerinde (SGMK, Eurobond, Repo, Fon, Hisse(pay piyasası), Viop, Elüs, Saklama uygulaması, Yatırım fonu değerleme, Portföy yönetim uygulaması) bilgi sahibi, SQL ile sorgu yazabilen, MS Office programlarını (Visio, Excel, Word) etkin kullanabilen, Tercihen iyi derecede İngilizce bilen, Analitik düşünme ve problem çözme yetkinliğine sahip, İletişim becerisi yüksek, Düzenli raporlama alışkanlığı olan ve dokümantasyona önem veren, Erkek adaylar için askerlik görevini tamamlamış ya da en az 2 yıl tecilli,"
"Yazılım Geliştirme Uzmanı","Bursa","(Bilgisayar Mühendisliği, Matematik Mühendisliği, Yönetim Bilişim Sistemleri, Elektrik-Elektronik Mühendisliği vb..) Microsoft .NET (C#, ASP.NET, MVC,.Net Core) platformunda tecrübeye sahip, web projeleri geliştirmiş.  ·  Net. Platformunda C# ile uygulama geliştirme konusunda en az 2 yıl deneyimli.  EXT.NET, HTML5, JQUERY, AJAX, CSS3, MySQL,PostgreSQL, konusunda bilgili  konusunda bilgili NHibernate, Web Services , SOAP, REST, JSON , XML konularında bilgi ve tecrübe sahibi Erkek adaylar için, askerlikle ilişkisi olmayan Literatürü takip edebilecek seviyede İngilizce bilen Bursa'da ikamet eden veya edebilecek olan, Dinamik bir çalışma ortamına ayak uydurabilecek, iletişim becerisi gelişmiş, ekip çalışmasına yatkın Yurtiçi / Yurtdışı seyahat ve konaklama engeli olmayan."
"Yazılım Test Mühendisi","Ankara(Akyurt)","TANIMI  İş Tanımı: MGEO Sektör Başkanlığı bünyesinde yürütülen Aviyonik Projelerde RTCA/DO-178C uyumlu aviyonik yazılım doğrulama faaliyetlerinin yürütülmesi konusunda bizimle birlikte çalışacak, havacılık sektörüne ilgi duyan takım arkadaşları arıyoruz.  Öğrenim Düzeyi/Alanı: Üniversitelerin Bilgisayar Mühendisliği veya Elektrik-Elektronik Mühendisliği bölümlerinden mezun, en az lisans derecesine sahip olmak  Teknik Yetkinlikler:  • Yazılım Mühendisliği süreçlerine hakim olmak • Tercihen aviyonik veya gömülü sistemler için yazılım doğrulama veya geliştirme tecrübesine sahip olmak, • Tercihen DO-178C süreçlerinde bilgili/tecrübeli olmak, • Tercihen DOORS, ClearCase, ClearQuest, JIRA, SVN, Git, Rhapsody programları veya benzerlerini kullanmış olmak,  • Tercihen C ve C++ programlama dillerini bilmek, • Tercihen INTEGRITY, VxWorks, linux vb. işletim sistemleri ile ilgili bilgi ve/veya tecrübeye sahip olmak, • Tercihen PowerPC ve/veya RISC işlemciler ile ilgili bilgiye sahip olmak • İleri düzeyde İngilizce bilmek,"
"Enerji Ticareti Uzman Yardımcısı","Şanlıurfa","TANIMI  §  Üniversitelerin Bilgisayar Mühendisliği, Endüstri /İşletme Mühendisliği, Matematik Mühendisliği, Ekonometri veya İstatistik bölümlerinden mezun,  §  Tercihen 22-32 yaş aralığında.  §  Tercihen elektrik piyasası sektör şirketlerinde minimum 1-3 yıl çalışmış ve/veya elektrik piyasası faaliyetleri ile bilgi sahibi,  §  Raporlama, analiz ve analitik düşünme becerileri yüksek, detaylara hakim, sonuç odaklı çalışabilen,  §  Excel başta olmak üzere MS Office programlarını ileri düzeyde kullanan,  §  Tercihen veri analitiği ve modelleme konusunda deneyim sahibi,  §  Araştırma, iş takibi ve planlama yetenekleri yüksek,  §  Problem çözme becerisi yüksek, yazılı ve sözlü iletişimi güçlü, takım çalışmasına yatkın,  §  Tercihen yazılı ve sözlü olarak iyi düzeyde İngilizce bilen,  §  Yoğun çalışma temposunda ve vardiyalı iş programında görev alacak. (Vardiya çalışma saatleri 8:00-16:00 / 16:00-00:00 / 00:00-8:00)  §  Şanlıurfa’da ikamet edebilecek, seyahat engeli olmayan ve aktif araç kullanabilen,  §  Erkek adaylar için askerlik görevini tamamlamış olan."
"Enerji Ticareti Uzmanı","İstanbul(Asya)","Mühendisliği, Enerji Mühendisliği, Bilgisayar Mühendisliği, İstatistik bölümlerinden mezun, Benzer bir pozisyonda 3 yıl tecrübeli, Detay odaklı ve sayısal analiz yeteneğine sahip, İleri düzeyde Excel bilen, Çok iyi düzeyde ingilizce bilen, Tercihen matlab programlama diline hakim,"
"Bilgi Güvenliği Mühendisi","İstanbul(Avr.)","sahip, Ağ ve Bilgi Güvenliği konularında bilgi sahibi ve kendini bu alanda geliştirmek isteyen Güvenlik alanında ve bilgi teknolojileri alanında yenilikleri ve gelişmeleri takip edebilecek Tercihen aşağıdaki konularda deneyim(kurulum, konfigürasyon ve yönetim) ve bilgi sahibi :"
"Network Operasyonları - IT Management Trainee","İstanbul(Avr.),","( Bilgisayar Mühendisliği, Elektrik-Elektronik Mühendisliği, Elektronik ve Haberleşme Mühendisliği vb.)  Ağ teknolojileri ve Güvenliği sistemlerini öğrenmeye istekli. Firewall sistemleri konusunda bilgi sahibi Ayrıntılara dikkat eden Analitik düşünen Gelişmiş problem çözme tekniklerine sahip. İletişim becerisi yüksek"
"IOS Yazılımcısı","İstanbul(Asya)(Ümraniye)","Mühendisliği, Matematik Mühendisliği ya da ilgili bölümlerinden mezun, Mobil uygulamalar geliştirme konusunda minimum 2 yıl ve üzeri tecrübeli, Tercihen Katmanlı Yazılım Mimarisi ve MVC/MVVM konularında bilgi sahibi,  IOS platformunda iyi derece tecrübe sahibi, Auto- Layout kavramı hakkında bilgi sahibi, Kullanıcı Deneyimi (UX) ve Mobil Tasarım Desenleri (Design Patterns) hakkında bilgi sahibi, Web/REST servisleri hakkında bilgi sahibi,"
"Yazılım Geliştirme Mühendisi","Kocaeli","mühendisliği, elektrik ve elektronik mühendisliği, yazılım mühendisliği, yönetim bilişim sistemleri, matematik, istatistik vb.) mezun olan, ·İyi derecede ingilizce bilen, ·Dokümantasyon yönetimi konusunda deneyimli olan, ·Analitik problem çözme yeteneğine sahip olan, ·Sonuç odaklı çalışma anlayışına sahip olan, ·Takım çalışmasına uyumlu olan, ·Yeni teknolojileri takip eden ve kendisini sürekli geliştiren, ·Kocaeli’de ikamet eden."
"Yazılım Geliştirme Mühendisi","Kocaeli","mühendisliği, elektrik ve elektronik mühendisliği, yazılım mühendisliği, yönetim bilişim sistemleri, matematik, istatistik vb.) mezun olan, İyi derecede ingilizce bilen, Dokümantasyon yönetimi konusunda deneyimli olan, Analitik problem çözme yeteneğine sahip olan, Sonuç odaklı çalışma anlayışına sahip olan, Takım çalışmasına uyumlu olan, Yeni teknolojileri takip eden ve kendisini sürekli geliştiren, Kocaeli’de ikamet eden."
"İş Analisti","Gaziantep","Mühendisliği, İşletme Mühendisliği, Matematik Mühendisliği, Yönetim Bilişim Sistemi, İktisat ve benzeri bölümlerinden mezun, Tercihen İş analizi alanında deneyimli, Tercihen sağlık sektöründe tecrübeli, Süreç analizi, gereksinimi belirlemek, dökümantasyon, test senaryoları hazırlama ve test konularında deneyim sahibi, Analitik düşünce yapısına sahip, İletişim kabiliyeti yüksek, Tercihen iyi seviyede İngilizce bilen, SAP ve ERP modüllerini kullanabilen, Takım çalışmasına yatkın ve çözüm odaklı, Erkek adaylar için askerlik görevini tamamlamış."
"Yazılım Mühendisi Uzman-Uzman Yrd","İstanbul(Avr.),","Yazılım Mühendisliği, Bilgisayar Programcılığı vb. bölümlerinden mezun, ASP.NET MVC, C# ve .NET teknolojileriyle web tabanlı uygulama geliştirme tecrübesi olan, HTML5, CSS3, Javascript, Jquery vb. teknolojilere hakim, Web Service, Entity Framework, LINQ, IIS teknolojilerinde deneyimli, Performans, güvenlik, cross-browser uyumluluk ve SEO hakkında bilgi ve tecrübe sahibi OOP konusunda tecrübeli, JSON, XML konusunda deneyimli, TFS tecrübesi olan, SQL bilgi ve tecrübesi olan (SQL/TSQL/PLSQL), Analitik düşünme yeteneğine sahip, sorumluluk alabilen, araştırmacı ve gelişime açık, ekip çalışmasına yatkın, yenilikçi ve sonuç odaklı, En az teknik seviyede İngilizce bilen, Alanında en az 3 yıl tecrübeli,"
"Yazılım Uzmanı","İstanbul(Avr.)(Büyükçekmece)","TANIMI  Tüyap bünyesinde değerlendirilmek üzere aşağıdaki özelliklere sahip Yazılım Uzmanı arayışımız söz konusudur.     Üniversitelerin Bilgisayar Mühendisliği, Bilgisayar Teknolojisi ve Programlama veya Bilgisayar Programcılığı ya da ilgili diğer bölümlerinden mezun,   ·        Web uygulamaları geliştirme deneyimine sahip  (PHP, .NET, HTML, XML, web servisleri vb.)  ·        PHP ile referans projeler geliştirmiş,  ·        JS, JQuery ve Ajax konusunda bilgi sahibi,  ·        MSSQL, MYSQL bilgisi olan,  ·        En az 5 yıl yazılım geliştirme tecrübesi olan,  ·        Tercihen iyi seviyede İngilizce seviyesine sahip,  ·        Erkek adaylar için askerliğini yapmış.     İş Tanımı  Bünyemizdeki yazılım ekibimiz içerisinde, yeni projelerimizin geliştirilmesi ve mevcut sistemlerimizin iyileştirilmesi faaliyetlerinde görev almak.         "
"Bilgi İşlem Elemanı","Gaziantep","konusunda bilgili  Bilgi Güvenliği ve Yedekleme Konusunda bilgili  IP Kamera Sistemlerinde ve yönetiminde bilgi sahibi Sanallaşma (VMware vb.), Storage yönetimi konularında uzman seviyede tecrübeli, MS Server, Exchange Server, Active Directory yönetimi konularında tecrübeli, Donanım ve teknik destek konusunda bilgi sahibi, Yazıcı, Faks, Fotokopi, Telefon, Kamera vb. çevre sistemleri ve kablolama konularında tecrübeli, Bilgisayar donanım konusunda hakim Erkek adaylar için Askerlik hizmetini tamamlamış, B sınıfı sürücü belgesine sahip, aktif olarak araç kullanabilen, seyahat engeli olmayan Düzenli, planlı çalışan, insan ilişkilerinde başarılı, Problem çözme becerileri ve sorumluluk duygusu gelişmiş, Takım çalışmasına yatkın. Erkek adaylar için Askerlik hizmetini tamamlamış, B sınıfı sürücü belgesine sahip, aktif olarak araç kullanabilen, seyahat engeli olmayan"
"Yazılım Uzmanı","İstanbul(Avr.),","Matematik Mühendisliği ve ilgili  bölümlerinden muzun, 2-7 yıl .NET teknolojilerini geliştirme ve sürdürme deneyimi olan, İyi derecede İngilizce konuşabilen, İletişim becerileri gelişmiş, analitik düşünebilen, araştırmacı ve sonuç odaklı,  Planlama ve takip etme becerisi kuvvetli,, Tercihen erkek adaylar için askerlik görevini tamamlamış,"
"Yazılım Uzmanı (.Net)","İstanbul(Asya)(Pendik)","da ilgili bölümlerinden mezun Yazılım geliştirme alanında en az 3 yıl deneyim sahibi Servis Mimarisi, SOA, Web API, SOAP konularında derin bilgi ve deneyim sahibi Çok katmanlı yazılım mimarisi, Solid Prensipleri ve tasarım desenleri gibi yazılım mimarilerinde bilgi sahibi İyi derecede İngilizce bilgisine sahip Aşağıdaki konu ve teknolojilerde derin bilgi sahibi olan ve en az iki projede bu bilgileri kullanmış olan adaylar aranmaktadır. C# programlama dili ve OOP (Nesne Yönelimli Programlama) MSSQL Server veya Postgresql veri tabanlarından biri SQL veya T-SQL sorgulama dili ve Veri Erişim Metodolojileri HTML5, CSS, JQuery ve Javascript gibi Front-End teknolojileri Angular Typescript,Asp.NET MVC"
"Mobil Yazılım Uzmanı","İstanbul(Asya)","Bilgi Teknolojileri ile ilgili diğer mühendislik bölümlerinden mezun En az 2 yıl Android mobil uygulama geliştirme tecrübesi olan (Tercihen Kotlin kullanmış) Tercihen Java ve/veya Oracle teknolojileri ile yazılım geliştirmiş olan, Tercihen Bankacılık ve Finans alanlarında yazılım geliştirmiş olan, İyi derecede İngilizce bilen, Analitik düşünebilen, Öğrenmeye ve gelişime açık,  Takım çalışmasına yatkın,  Askerlik görevi ile ilişiği olmayan veya en az 2 yıl tecilli (Erkek adaylar için)"
"Yazılım Geliştirme Uzmanı","İstanbul(Asya)(Ümraniye)","benzeri bölümlerinin birinden mezun, .NET (C#), ASP.NET MVC ile uygulama geliştirmiş ve min. 2 yıl tecrübeli,  Entity Framework, LINQ teknolojilerine hakim,  SOAP vb. web servisleri kullanmış ve design patterns hakkında bilgi sahibi, Winform/WPF ile masaüstü programlama tecrübesine sahip,  Nesne tabanlı programlama dilleri ile katmanlı mimariye sahip platformlarda uygulama geliştirmiş MS SQL Server veri tabanı, SQL,veritabanı tasarımı konularında tecrübesi olan,  Tercihen HTML5, CSS3, JavaScript, JQuery,  vb. platformlar konularında bilgi sahibi,  Teknik dokümanları okuyup anlayabilecek düzeyde İngilizce bilgisine sahip"
"Yazılım Geliştirme Uzman/Uzman Yardımcısı (Hybris)","Kayseri(Melikgazi)","TANIMI  Genel Nitelikler  Üniversitelerin tercihen Bilgisayar Mühendisliği bölümünden mezun,  Java, J2EE ve Web Uygulama Geliştirme teknolojilerinde  deneyime sahip,  Nesne Yönelimli Tasarım/Programlama konusunda tecrübeli,  Spring Boot veya Spring MVC framework deneyimi bulunan,  Tercihen SAP Hybris projelerinde görev almış olan,   Restful API/SOAP web servis yapıları konusunda yeterli tecrübeye sahip,   İş Tanımı  SAP Hybris e-Commerce ve PCM de Java tabanlı geliştirme faaliyetlerinde bulunulması,  Veri giriş form/ekranları gibi içeriksel düzenleme/tasarım/implementasyon çalışmaları,  Hybris’in standart iş modüllerinde yapılması gerekebilecek ilave geliştirme, genişletme ve uyarlama çalışmaları,  Tamamen sıfırdan tasarlanıp geliştirilmesi gereken ilave modül ve bileşenlere yönelik düzenlenecek çalışmalar,  Yapılan çalışmaların dokümente edilmesi, versiyonlanması, departman ve proje yöneticiliklerine raporlanması süreçlerini yürütecek takım arkadaşları aranmaktadır."
"Yazılım Uzmanı","İstanbul(Avr.)(Küçükçekmece)","ilgili bölümlerinden mezun, .NET(ASP.NET MVC, C#) platformunda uygulama geliştirme konusunda en az 2 yıllık deneyime sahip, SQL Server veri tabanı ve T-SQL konularında bilgi sahibi, ERP sistemleri hakkında bilgisi olan (Tercihen Nebim V3) Analitik düşünebilen, sonuç odaklı ve yeniliklere açık, Ekip çalışmasına yatkın, Erkek adaylar için askerliğini yapmış, İstanbul Avrupa yakasında ikamet eden"
".Net Yazılım Uzmanı","İstanbul(Asya)(Kadıköy)","ilgili bölümlerinden mezun, En az 2 yıl Web tabanlı uygulama geliştirme konusunda deneyimli, ASP.NET MVC ve MySQL bilgisi, RESTful API, web servisler (JSON, XML) konularında deneyimli, Yoğun çalışma temposuna ayak uydurabilen, İleri seviye problem çözme yeteneği olan, Analitik düşünme yetkinliğine sahip, Takım çalışmasına yatkın, iletişim konusunda başarılı, Sürekli öğrenmeye ve kendini geliştirmeye açık, Anadolu yakasında ikamet eden."
"Proje Mühendisi","İstanbul(Asya)(Pendik)","TANIMI  CTech Bilişim Teknolojileri, TUSAŞ-Türk Havacılık ve Uzay Sanayii A.Ş. iştiraki olup, kurulduğu 2005 yılından bu yana Savunma, Havacılık, Uzay ve Uydu Teknolojileri, Haberleşme Sistemleri, Siber Güvenlik, Modelleme ve Simülasyon alanlarında faaliyet göstermektedir.    GENEL NİTELİKLER  CTech bünyesinde devam eden projelerde görevlendirilmek üzere  ·       Üniversitelerin Elektrik-Elektronik Mühendisliği, Bilgisayar Mühendisliği veya Endüstri Mühendisliği bölümlerinden mezun,  ·       Proje yönetim süreçlerine hakim,  ·       Tercihen PMP sertifikasına sahip,  ·       Sözleşme yönetimi, kapsam, bütçe, kaynak ve takvim yönetimi konularında tecrübeli,   ·       İleri derecede yazılı ve sözlü İngilizce bilen,  ·       MS Ofis Programlarını ileri derecede kullanabilen,  ·       Tercihen proje yönetim araçları (MS Project, Jira vb.) hakkında bilgi ve deneyim sahibi,  ·       Takım çalışmasına yatkın, sosyal ilişkilerde başarılı,  ·       Yeniliklere ve gelişime açık, sonuç odaklı, analitik ve problem çözme yeteneğine sahip,  ·       Karmaşık bilgileri analiz edebilen ve müşteriler / yönetim için uygun formatta sunma yeteneğine sahip,  ·       Son derece düzenli ve sistemli, kendini motive edebilen,  ·       Yurt içi/yurt dışı seyahat engeli bulunmayan  ""Proje Mühendisi"" arayışımız bulunmaktadır.        İŞ TANIMI:  ·       Proje iş programını takip ederek, işin süresinde, bütçesi dahilinde ve talep edilen kalitede devamını sağlamak  ·       Proje yöneticileri ile birlikte projelerin bütçesinin, takviminin ve kapsamının oluşturulması, planlanması ve gerçekleşmelerin kontrol edilmesini sağlamak,  ·       Kalite yönetimi, maliyet yönetimi, sözleşme yönetimi, müşteri yönetimi konularında proje yöneticisi ile birlikte sorumlulukları üstlenmek,  ·       Proje yöneticileri ile iş birliği içerisinde projelerin gelişme raporlarını oluşturup Yönetim'e sunulmasını sağlamak  ·       Proje sonuçlarının toplanması, kayıt altına alınması ve ilgili paydaşlara raporlanması faaliyetlerini yürütmek,  ·       Gerektiği durumda alt yüklenicilerin/paydaşların koordinasyonunu sağlayarak faaliyetlerin hızlı ve doğru yapılmasını sağlamak,  ·       Proje yönetimi süreçlerini iyileştirmek için çözümler üretmek."
"React.Js Developer","İstanbul(Avr.),","TANIMI  Şirketimizin dış kaynak sağladığı kurumsal bir firmada görev alacak, belirtilen niteliklere uygun Front-End Developer/React.js uzmanları alınacaktır.   Nitelikler  Üniversitelerin Bilgisayar Mühendisliği ya da ilgili diğer mühendislik bölümlerinden mezun   Yazılım geliştirme projelerinde en az 2 yıl tecrübeli  ***İyi derece React.js bilgisi olan   TypeScript, Javascript (Jquery, AJAX, OOP, MVVM),  SCSS, HTML5, RESTfull API konularında bilgi ve tecrübe sahibi  Araştırmacı ve yeni teknolojileri öğrenmeye hevesli  Takım çalışmasına yatkın, sorumluluk sahibi ve etkili iletişim kurabilen   Erkek adaylar için askerliğini yapmış veya en az 2 yıl tecilli olan   İstanbul’da ikamet eden   İyi derecede İngilizce bilen "
"Yazılım Uzmanı","Kocaeli(İzmit)","TANIMI  Yazılım Uzmanı   İş Tanımı  Endüstri 4.0 alanında Mobil ve Web yazılımları üzerine, esnek çalışma saatlerine ve takım çalışmasına yatkın yetişmiş ya da yetiştirilmek üzere Yazılım Uzmanı adayları aranmaktadır.     Aranan Nitelikler     Tercihen Üniversitelerin Yazılım ve Bilgisayar Mühendisliği veya ilgili bölümlerinden mezun,  ANGULAR platformunda deneyimli,  Tercihen NET platformu, C#, MVC ve Entity Framework konularında deneyimli,  Tercihen IOS/Android uygulaması geliştirmiş,  SQL Server veri tabanı ve T-SQL konularında bilgi sahibi,             SQL Server veri tabanı üzerinde uygulama geliştirmiş,   Tercihen Web teknolojileri, HTML5, Ionic, Type Script konularına hakim,  Tercihen erkek adayların askerliğini yapmış,   İyi düzeyde İngilizce bilen,"
"Yazılım Uzmanı","İstanbul(Avr.)(Sarıyer)","(tercihen Bilgisayar Mühendisliği), ASP .Net Core, php, IIS, MS Visual Studio.NET (ASP.NET, C#,vb.)  ile uygulama geliştirmiş ve en az 3 yıl deneyimli, Azure Devops mimarisinde yazılım geliştirme süreçlerinde görev almış, B2B/B2C portal ve web yazılımı geliştirme tecrübesine sahip, Web tabanlı uygulamalarda deneyimli, Drupal, php, HTML, XML, CSS, IIS, Javascript, MySQL bilen, MSSQL Server, mySQL bilen, MS SharePoint Server tecrübesine sahip, Raporlama ve BI araçları, tercihen SSRS ( Reporting Services), SSAS ( Analysis Services) tecrübesi, İyi derecede İngilizce bilen, Analiz yeteneğine sahip, takım çalışmasına yatkın, Erkek adaylar için askerlik hizmetini tamamlamış."
"Ms Sql Server Veritabanı Uzmanı/Uzman Yardımcısı","İstanbul(Avr.)","yönetim, bakım ve güncelleme işlemlerinin yapılması, Performans tuning, kapasite planlama, yedekleme, iş sürekliliği ve güvenlik yönetimi konularının takibi."
".Net Yazılım Geliştirme Uzmanı","Bursa(Nilüfer)","Mühendisliği veya ilgili Mühendislik bölümlerinden mezun, Kurumsal Yazılım Çözümleri (ERP, CRM, WMS, QDMS ve İş Zekası vb) konularında en az 1 yıl deneyimi olan .Net teknolojileri konusunda bilgi sahibi, Nesne Tabanlı Programlama bilgisine sahip, İlişkisel veri tabanları (tercihen Microsoft SQL) konusunda deneyimli, Yazılım geliştirme ortamları, süreçleri ve metodolojileri ile ilgili bilgisi olan, Tercihen DevExpress XAF Framework konusunda bilgili İyi derecede İngilizce bilgisine sahip, Takım çalışmasına yatkın ve analitik düşünebilen, Sonuç odaklı, İletişim yeteneği yüksek, Gelişime  açık Erkek adaylar için askerliğini tamamlamış."
"Canias ERP Sorumlusu (Boya)","İstanbul(Asya)","bölümlerinden mezun, Canias ERP Programında tecrübeli, Ek modül programlarının geliştirilmesinde deneyimli, İstanbul / Ümraniye bölgesinde çalışabilecek,  Erkek adaylar için askerlik görevini tamamlamış,"
".Net Yazılım Uzmanı","İstanbul(Avr.)(Bahçelievler)","TANIMI    * Bilgisayar Mühendisliği bölümlerinden mezun veya kendini geliştirmiş ilgili bölümlerden mezun  * Microsoft .Net ve C# platformlarında yazılım geliştirme konusunda en az 2 yıllık profesyonel deneyime sahip ? *  MS SQL Server veri tabanı yönetim sistemlerinde en az 2 yıl deneyimli  * İnsan ilişkilerinde başarılı  * Ekip çalışmasına yatkın  * Erkek adaylar için askerlikle ilişkisi olmayan   * Zamanını iyi planlayan ve kullanabilen   * Teknolojiyi ve yenilikleri takip eden, öğrenmeye ve gelişmeye açık  * İyi derecede teknik dökümantasyon yapabilen,       İŞ TANIMI  Otomotiv sektöründe dünya markalarına DMS (Dealer Managament System) yazılımı üreten, her geçen gün müşteri kitlesi büyüyen, markalaşma ve kurumsallaşmada iyi bir yere gelmiş şirketimizde görevlendirilmek üzere takım arkadaşları arıyoruz."
