"Meslek","Şehir","Nitelikler"
"ASP.NET Yazılım Uzmanı","İstanbul(Avr.)(Esenler,","TANIMI  Danışmanlığını yapmakta olduğumuz müşterimiz bünyesinde sigorta sektörünün öncü kuruluşlarında görevlendirmek üzere ASP.Net Developer arayışımız bulunmaktadır.      Üniversitelerin Bilgisayar Mühendisliği, Matematik Mühendisliği, Matematik, Bilgisayar Programcılığı veya ilgili bölümlerden mezun,Object Oriented programlama mantığına hakim, Asp.Net C# dilinde web tabanlı uygulama geliştirmiş, Oracle PL/SQL geliştirme konusunda en az 2 yıl tecrübeli, Tercihen jQuery, HTML ve CSS konularında bilgili, Enerjisi yüksek bir ekipte, takım arkadaşları ile pozitif ilişkiler geliştirebilecek, Dokümantasyona önem veren, Yeni gelişme ve teknolojileri takip edebilecek düzeyde İngilizce bilen, Askerlik yükümlülüğünü tamamlamış veya en az 2 yıl tecil ettirmiş (erkek adaylar için)  çalışma arkadaşları arıyoruz. "
"Back-End Developer","İstanbul(Avr.)(Esenler)","güvenlik önlemlerinin alınması ve optimizasyonların yapılması Mongodb veritabanı tasarımları yeni dökümanların uygulanması Sunucu tarafına servislerin yayınlanması, sunucu tarafındaki gerekli süreçlerin yürütülmesi"
"Yazılım Sorumlusu","Gaziantep","TANIMI  Bilgisayar Mühendisliği veya Bilgisayar programlama bölümlerinden mezun, Teknik düzeyde İngilizce bilen, Üretim sektöründe en az 2 yıl deneyimli, Logo Tiger’ı yönetebilecek (bakım ve yedekleme), gerektiğinde çalışanlara destek verebilecek ve ihtiyaçlar doğrultusunda ek raporlar tasarlayabilen, Tiger veritabanına hakim ve Logo Unity API (lobject.dII) kullanarak Tiger'e entegre yazılım geliştirebilen, .Net ASP ve C# Platformunda uygulama geliştirebilen, İyi derecede SQL Server ve T-SQL kod yazabilen, El terminali uygulamaları geliştirebilen (WinCE / .Net Compact Framework / C#) Tercihen herhangi bir ERP projesinde görev almış,  Bay adaylar için askerliğini tamamlamış, Gaziantep'te ikamet eden / edebilecek takım arkadaşı arıyoruz."
"Yazılım Uzmanı","Tekirdağ(Çorlu)","Mühendisliği ve Matematik Mühendisliği bölümlerinden mezun, En az 3 yıl iş ve yazılım proje deneyimi olan, Javascript, HTML ve CSS konularında deneyimli, Tercihen Python, C#, MS Transact SQL (T-SQL) dilleri ile WEB.API  konusunda bilgili, Tercihen veritabanları, donanım, ağ yönetimi konularında deneyimli, En az literatürü takip edebilecek düzeyde İngilizce bilen, Çorlu'da ikamet  eden veya edebilecek"
"İş Analisti Uzmanı","İstanbul(Avr.),","veya Bilgisayar Mühendisliği bölümlerinden mezun, İş analisti olarak en az 3 yıl deneyim sahibi Üniversitelerin Matematik, MIS, Enformatik veya Mühendislik bölümlerinden birinden mezun, Sistem modelleme ve analiz etme tekniklerini iyi bilen, Yazılı/sözlü iletişim becerileri kuvvetli, ayrıntılara dikkat eden, gelişim odaklı, analitik düşünce yapısına sahip Scrum metodolojisini deneyimlemiş ve Agile bakış açısını benimsemiş olmak"
"Kıdemli .Net Yazılım Uzmanı","İstanbul(Asya)(Ataşehir)","TANIMI  Üniversitelerin Bilgisayar Mühendisliği veya ilgili bölümlerinden mezun,  En az 5 yıl Web tabanlı uygulama geliştirme konusunda deneyimli,  İyi derece ASP.NET MVC ve MySQL bilgisi,  ASP.NET Core deneyimli,  RESTful API, web servisler (JSON, XML) konularında deneyimli,  Yoğun çalışma temposuna ayak uydurabilen,  İleri seviye problem çözme yeteneği olan,  Analitik düşünme yetkinliğine sahip,  Takım çalışmasına yatkın, iletişim konusunda başarılı,  Sürekli öğrenmeye ve kendini geliştirmeye açık,  Erkek adaylar için askerlik hizmetini tamamlamış,  Anadolu yakasında ikamet eden,"
"Yazılım Geliştirme Uzman/Uzman Yardımcısı(Fiori)","Kayseri(Melikgazi)","TANIMI  Genel Nitelikler  Üniversitelerin tercihen Bilgisayar Mühendisliği bölümünden mezun,  Fiori konusunda deneyimli,  Javascript , Jquery , Json , Ajax dillerine hakim,  Geliştirmeler için SAP Cloud Platform üzerinden Web IDE kullanabilen ,  ABAP Kodlaması hakkında bilgi sahibi,  İş Tanımı  SAP Fiori Uygulamaları geliştirme faaliyetlerinde bulunulması,  Veri giriş form/ekranları gibi içeriksel düzenleme/tasarım/implementasyon çalışmaları,  Fiori iş modüllerinde yapılması gerekebilecek ilave geliştirme, genişletme ve uyarlama çalışmaları,  Tamamen sıfırdan tasarlanıp geliştirilmesi gereken bileşenlere yönelik düzenlenecek çalışmalarını yürütecek takım arkadaşları aranmaktadır."
"Full Stack Developer","İstanbul(Avr.)(Bayrampaşa,","TANIMI  Bilgisayar mühendisliği ya da ilgili bölümlerden mezun;     İyi derecede PHP bilen ve Symfony framework kullanımında deneyim sahibi     SQL veri tabanı geliştirme konusunda deneyimli ve tercihen PostgreSQL ile daha önce proje geliştirmiş     REST/JSON ile API geliştirme konusunda deneyimli, büyük projelerde görev almış     HTML, CSS, Ajax, JavaScript, jQuery vs. teknolojilerini kullanabilen     Test geliştirme ortamları hakkında deneyim sahibi     Versiyon kontrol sistemlerini kullanabilen     İyi derecede İngilizce bilen     Tercihen Docker konusunda tecrübeli     Tercihen Linux konusunda tecrübeli     Problem çözme, analiz ve planlama becerilerine sahip     Tercihen Avrupa yakasında ikamet eden ekip arkadaşı aramaktayız."
"SAP ABAP Uzmanı","Gaziantep(Şehitkamil),","Yönetim Bilişimleri Mühendisliği vb. bölümlerinden birisinden mezun, Uluslararası bir firmada kariyerini sürdürmek isteyen, İlgili uzmanlık alanında en az 3 yıl ve üzeri tecrübe sahibi, Erkek adaylar için askerlik görevini tamamlamış veya askerlikle ilişiği olmayan, Takım çalışmasına yatkın, Sorumluluk sahibi , iş odaklı ve disiplinli, En az 2 full-cycle SAP implementasyon projesinde görev almış Takım arkadaşları arıyoruz"
"Proje Mühendisi","Bursa","Bilgisayar Programcılığı bölümü mezunu,   İleri derecede ingilizce veya Rusça yazışabilen - anlayabilen -konuşabilen   T-SQL bilgisine sahip, MSSQL veritabanı konusunda deneyim sahibi,  Problem çözme, planlama ve organizasyon becerileri gelişmiş, analitik düşünebilen,   Sorumluluk sahibi, detaylara önem veren, proaktif,   Müşteri diyalogları güçlü,   Müşteri projelerini yönetebilecek,   Öğrenmeye ve gelişmeye açık,   Analitik düşünebilen,   Takım çalışmasına uyumlu,  Seyahat engeli olmayan,  Erkek adaylar için askerlik ile ilişkisi olmayan, ÇALIŞMA ARKADAŞLARI ARAMAKTAYIZ."
